restaurant,cuisine,review,stars,useful_votes,funny_votes,cool_votes
The Golden Fork,Italian,"Superb dining experience, will bring my family next time. Service was top notch.",5,7,6,25
The Golden Fork,Italian,Never again! Dry overcooked meat and soggy vegetables. Will not be returning.,2,23,3,7
The Golden Fork,Italian,"The food was divine, fresh ingredients and generous portions.",5,1,11,29
The Golden Fork,Italian,Nothing special but would probably return if nearby. Might try again someday.,3,11,11,24
The Golden Fork,Italian,"Standard fare, nothing memorable about the experience.",3,27,15,14
The Golden Fork,Italian,"Superb dining experience, will bring my family next time. Service was top notch.",4,43,19,24
The Golden Fork,Italian,Overpriced and the food was bland and disappointing. Will not be returning.,1,20,8,6
The Golden Fork,Italian,"Horrible experience, the manager was unhelpful and rude.",1,13,17,25
The Golden Fork,Italian,"Fantastic experience from start to finish, highly recommend! Perfect for special occasions.",4,19,14,27
The Golden Fork,Italian,"Complete waste of money, microwave quality at restaurant prices. Will not be returning.",2,34,13,16
The Golden Fork,Italian,"Reasonable place, the pasta was decent but uninspiring.",3,1,5,21
The Golden Fork,Italian,"The food was divine, fresh ingredients and generous portions.",4,17,11,1
The Golden Fork,Italian,Outstanding service and the pasta was perfectly cooked. Prices are very reasonable.,4,39,15,12
The Golden Fork,Italian,Nothing special but would probably return if nearby.,3,25,12,8
The Golden Fork,Italian,Decent food but nothing that blew me away really. Might try again someday.,3,6,8,23
The Golden Fork,Italian,"Perfect date night spot, romantic ambiance and delicious food. Service was top notch.",4,16,7,2
The Golden Fork,Italian,"Hidden gem in the city, every dish was a masterpiece.",5,41,6,25
The Golden Fork,Italian,"Absolutely disgusting, sent food back twice and left hungry. Reported to health department.",2,7,11,1
The Golden Fork,Italian,"Absolutely disgusting, sent food back twice and left hungry. Will not be returning.",2,23,4,2
The Golden Fork,Italian,"The food was divine, fresh ingredients and generous portions. Service was top notch.",4,34,0,2
The Golden Fork,Italian,Overpriced and the food was bland and disappointing. Reported to health department.,2,4,13,6
The Golden Fork,Italian,"Food took forever and arrived cold, totally unacceptable. Asked for a refund.",1,12,18,6
The Golden Fork,Italian,"Five stars all the way, food was piping hot and delicious! Prices are very reasonable.",4,29,4,22
The Golden Fork,Italian,"Superb dining experience, will bring my family next time. Service was top notch.",5,28,3,12
The Golden Fork,Italian,Never again! Dry overcooked meat and soggy vegetables. Will not be returning.,1,21,1,9
The Golden Fork,Italian,"Best meal I have had in years, exceeded all expectations!",5,5,11,11
The Golden Fork,Italian,Loved the ambiance and the chef really knows their craft. Service was top notch.,4,27,6,29
The Golden Fork,Italian,"Horrible experience, the manager was unhelpful and rude. Will not be returning.",2,12,8,2
The Golden Fork,Italian,"Complete waste of money, microwave quality at restaurant prices. Will not be returning.",1,8,4,0
The Golden Fork,Italian,Appalling hygiene standards and tasteless food throughout.,2,14,8,19
The Golden Fork,Italian,"Absolutely amazing food, best restaurant in the city! Perfect for special occasions.",4,11,6,1
The Golden Fork,Italian,"Fantastic experience from start to finish, highly recommend! The chef deserves a raise!",5,16,16,1
The Golden Fork,Italian,"The food was divine, fresh ingredients and generous portions.",4,31,0,0
The Golden Fork,Italian,"Average experience, food was okay and service was fine. Might try again someday.",3,43,5,22
The Golden Fork,Italian,"Hidden gem in the city, every dish was a masterpiece. Service was top notch.",5,16,5,23
The Golden Fork,Italian,"Incredible flavors, friendly staff and cozy atmosphere. Service was top notch.",4,47,15,0
The Golden Fork,Italian,Never again! Dry overcooked meat and soggy vegetables. Asked for a refund.,2,15,2,19
The Golden Fork,Italian,Outstanding service and the pasta was perfectly cooked. Service was top notch.,4,25,2,18
The Golden Fork,Italian,Exceptional quality and the dessert was absolutely heavenly. Prices are very reasonable.,4,40,0,7
The Golden Fork,Italian,"Incredible flavors, friendly staff and cozy atmosphere. The chef deserves a raise!",4,10,17,22
The Golden Fork,Italian,"Wonderful staff, quick service and incredibly tasty dishes. Service was top notch.",4,6,15,25
The Golden Fork,Italian,Outstanding service and the pasta was perfectly cooked. Prices are very reasonable.,5,48,1,0
The Golden Fork,Italian,Appalling hygiene standards and tasteless food throughout. Reported to health department.,2,36,8,8
The Golden Fork,Italian,"Loved every bite, will definitely come back again soon! Prices are very reasonable.",4,23,0,23
The Golden Fork,Italian,"Absolutely amazing food, best restaurant in the city! Prices are very reasonable.",5,37,7,19
The Golden Fork,Italian,Loved the ambiance and the chef really knows their craft. The chef deserves a raise!,4,34,17,13
The Golden Fork,Italian,"The food was divine, fresh ingredients and generous portions. Service was top notch.",4,15,8,3
The Golden Fork,Italian,"Absolutely amazing food, best restaurant in the city!",5,47,19,23
The Golden Fork,Italian,Exceptional quality and the dessert was absolutely heavenly. Service was top notch.,5,16,0,15
The Golden Fork,Italian,Overpriced and the food was bland and disappointing. Asked for a refund.,2,21,13,29
The Golden Fork,Italian,"Five stars all the way, food was piping hot and delicious! Service was top notch.",5,7,1,20
The Golden Fork,Italian,Great value for money and the flavors were authentic. The chef deserves a raise!,4,4,15,18
